epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1411.55,0.37389,0.49948,0.26872,0.97152,0.99941,1,0.995,0.98041,0.99941,1,0.995,0.97867,0.23696,0.53613,0.18855,0.8531,0.003136,0.003136,0.003136
106,1423.43,0.37534,0.49574,0.27078,0.97387,0.99903,1,0.995,0.98445,0.99903,1,0.995,0.97901,0.22488,0.55815,0.19117,0.85271,0.00307,0.00307,0.00307
107,1435.57,0.36642,0.49036,0.26448,0.96747,0.99882,0.9918,0.995,0.95083,0.99882,0.9918,0.995,0.93052,0.32855,0.77939,0.24693,0.94348,0.003004,0.003004,0.003004
108,1447.68,0.37127,0.49421,0.26685,0.97115,0.99867,1,0.995,0.97282,0.99867,1,0.995,0.96088,0.26718,0.67808,0.19793,0.88421,0.002938,0.002938,0.002938
109,1459.78,0.37614,0.49542,0.27105,0.97219,0.99817,1,0.995,0.97459,0.99817,1,0.995,0.97405,0.26445,0.58148,0.19985,0.87919,0.002872,0.002872,0.002872
110,1471.74,0.36669,0.48362,0.26577,0.96948,0.99814,1,0.995,0.97967,0.99814,1,0.995,0.976,0.22724,0.54275,0.19187,0.84921,0.002806,0.002806,0.002806
111,1483.65,0.35934,0.50764,0.25799,0.96149,0.99874,1,0.995,0.98193,0.99874,1,0.995,0.97715,0.22002,0.55373,0.19858,0.8495,0.00274,0.00274,0.00274
112,1495.56,0.35246,0.48063,0.26065,0.96583,0.99886,1,0.995,0.98204,0.99886,1,0.995,0.97883,0.21067,0.54843,0.18092,0.84118,0.002674,0.002674,0.002674
113,1507.55,0.35967,0.47205,0.25782,0.95867,0.99879,1,0.995,0.97691,0.99879,1,0.995,0.97135,0.2326,0.58216,0.18797,0.86019,0.002608,0.002608,0.002608
114,1519.62,0.35461,0.48327,0.25622,0.96124,0.99937,1,0.995,0.98213,0.99937,1,0.995,0.97637,0.23199,0.5656,0.18871,0.86443,0.002542,0.002542,0.002542
115,1531.76,0.34574,0.44817,0.25064,0.95096,0.99883,1,0.995,0.98203,0.99883,1,0.995,0.97467,0.21834,0.55575,0.18399,0.85256,0.002476,0.002476,0.002476
116,1543.75,0.3461,0.46282,0.24634,0.95629,0.99863,1,0.995,0.98442,0.99863,1,0.995,0.97799,0.21453,0.57387,0.18648,0.8603,0.00241,0.00241,0.00241
117,1555.71,0.35277,0.45597,0.25375,0.9667,0.9984,1,0.995,0.98293,0.9984,1,0.995,0.97875,0.21523,0.5675,0.19076,0.85484,0.002344,0.002344,0.002344
118,1569.98,0.34659,0.44487,0.24987,0.95482,0.99141,1,0.995,0.99003,0.99141,1,0.995,0.98205,0.20658,0.52884,0.19414,0.84434,0.002278,0.002278,0.002278
119,1584.36,0.35389,0.45921,0.25234,0.96009,0.99865,1,0.995,0.98801,0.99865,1,0.995,0.9784,0.2203,0.53439,0.18617,0.84935,0.002212,0.002212,0.002212
120,1598.25,0.34554,0.49529,0.24886,0.95383,0.99891,1,0.995,0.98195,0.99891,1,0.995,0.97638,0.22245,0.54782,0.18627,0.85394,0.002146,0.002146,0.002146
121,1611.79,0.34687,0.47745,0.24585,0.95004,0.99902,1,0.995,0.98086,0.99902,1,0.995,0.97983,0.19949,0.55004,0.17643,0.84197,0.00208,0.00208,0.00208
122,1624.98,0.32602,0.45346,0.23956,0.94098,0.99803,1,0.995,0.98449,0.99803,1,0.995,0.97759,0.21678,0.56682,0.18025,0.85501,0.002014,0.002014,0.002014
123,1637.44,0.34515,0.47491,0.24874,0.95566,0.99802,1,0.995,0.98546,0.99802,1,0.995,0.98655,0.21271,0.56952,0.1833,0.84834,0.001948,0.001948,0.001948
124,1649.61,0.32965,0.44633,0.24215,0.94494,0.99799,1,0.995,0.98538,0.99799,1,0.995,0.98364,0.20619,0.56254,0.18041,0.84625,0.001882,0.001882,0.001882
125,1661.72,0.33482,0.46493,0.24648,0.94964,0.99783,1,0.995,0.98201,0.99783,1,0.995,0.98148,0.22004,0.56252,0.1813,0.85199,0.001816,0.001816,0.001816
126,1673.85,0.33793,0.44017,0.24587,0.955,0.99924,1,0.995,0.98155,0.99924,1,0.995,0.98179,0.20358,0.54353,0.1742,0.84718,0.00175,0.00175,0.00175
127,1685.79,0.34599,0.48306,0.24834,0.95645,0.99927,1,0.995,0.98513,0.99927,1,0.995,0.9809,0.21529,0.58108,0.17386,0.85424,0.001684,0.001684,0.001684
128,1698.17,0.32627,0.44892,0.23702,0.94357,0.99892,1,0.995,0.98704,0.99892,1,0.995,0.98084,0.19907,0.56381,0.17047,0.83554,0.001618,0.001618,0.001618
129,1710.35,0.32554,0.42606,0.23484,0.94171,0.99923,1,0.995,0.98893,0.99923,1,0.995,0.98146,0.20615,0.55536,0.16936,0.84302,0.001552,0.001552,0.001552
130,1722.17,0.32558,0.46301,0.23611,0.94346,0.99829,1,0.995,0.98897,0.99829,1,0.995,0.98442,0.19814,0.53666,0.1705,0.83572,0.001486,0.001486,0.001486
131,1734.14,0.33072,0.46195,0.24384,0.95011,0.99843,1,0.995,0.98727,0.99843,1,0.995,0.98044,0.21184,0.56257,0.17628,0.84903,0.00142,0.00142,0.00142
132,1745.99,0.32764,0.45306,0.23709,0.93888,0.99869,1,0.995,0.98383,0.99869,1,0.995,0.97898,0.20459,0.56736,0.17968,0.84447,0.001354,0.001354,0.001354
133,1757.91,0.32049,0.46457,0.23571,0.94222,0.99881,1,0.995,0.98978,0.99881,1,0.995,0.98462,0.19667,0.55131,0.17457,0.83607,0.001288,0.001288,0.001288
134,1769.87,0.32337,0.44945,0.23367,0.94554,0.99887,1,0.995,0.99114,0.99887,1,0.995,0.98592,0.19325,0.53749,0.16578,0.82935,0.001222,0.001222,0.001222
